| trip_id | arrival_time | departure_time | stop_id | stop_sequence |
|---------|--------------|----------------|---------|---------------|
| 1       | 04:35:00     | 04:35:00       | 826     | 1             |
| 1       | 04:36:14     | 04:36:14       | 788     | 2             |
| 1       | 04:37:33     | 04:37:33       | 730     | 3             |
| 1       | 04:38:33     | 04:38:33       | 709     | 4             |
| 1       | 04:39:39     | 04:39:39       | 691     | 5             |
| 1       | 04:40:25     | 04:40:25       | 682     | 6             |
| 1       | 04:41:01     | 04:41:01       | 692     | 7             |
| 1       | 04:41:37     | 04:41:37       | 719     | 8             |
| 1       | 04:42:57     | 04:42:57       | 741     | 9             |
| 1       | 04:42:26     | 04:42:26       | 747     | 10            |
| 1       | 04:43:49     | 04:43:49       | 751     | 11            |
| 1       | 04:44:08     | 04:44:08       | 752     | 12            |
| 1       | 04:45:43     | 04:45:43       | 757     | 13            |
| 1       | 04:46:23     | 04:46:23       | 764     | 14            |
| 1       | 04:47:08     | 04:47:08       | 772     | 15            |
| 1       | 04:47:41     | 04:47:41       | 773     | 16            |
| 1       | 04:48:12     | 04:48:12       | 759     | 17            |
| 1       | 04:48:44     | 04:48:44       | 749     | 18            |
| 1       | 04:49:06     | 04:49:06       | 743     | 19            |
| 1       | 04:49:43     | 04:49:43       | 732     | 20            |
| 1       | 04:50:49     | 04:50:49       | 744     | 21            |
| 1       | 04:51:16     | 04:51:16       | 765     | 22            |
| 1       | 04:51:46     | 04:51:46       | 781     | 23            |
| 1       | 04:52:32     | 04:52:32       | 796     | 24            |
| 1       | 04:53:34     | 04:53:34       | 803     | 25            |
| 1       | 04:54:26     | 04:54:26       | 806     | 26            |
| 1       | 04:55:31     | 04:55:31       | 810     | 27            |
| 1       | 04:55:48     | 04:55:48       | 813     | 28            |
| 1       | 04:56:21     | 04:56:21       | 816     | 29            |
| 1       | 04:56:43     | 04:56:43       | 817     | 30            |
| 1       | 04:58:31     | 04:58:31       | 758     | 31            |
| 1       | 04:59:37     | 04:59:37       | 820     | 32            |
| 1       | 04:59:54     | 04:59:54       | 819     | 33            |
| 1       | 05:00:47     | 05:00:47       | 832     | 34            |
| 1       | 05:01:25     | 05:01:25       | 841     | 35            |
| 1       | 05:01:58     | 05:01:58       | 849     | 36            |
| 1       | 05:02:35     | 05:02:35       | 862     | 37            |
| 1       | 05:03:26     | 05:03:26       | 876     | 38            |
| 1       | 05:03:48     | 05:03:48       | 884     | 39            |
| 1       | 05:04:15     | 05:04:15       | 891     | 40            |
| 1       | 05:04:39     | 05:04:39       | 899     | 41            |
| 1       | 05:05:34     | 05:05:34       | 919     | 42            |
| 1       | 05:06:17     | 05:06:17       | 929     | 43            |
| 1       | 05:07:42     | 05:07:42       | 967     | 44            |
| 1       | 05:08:02     | 05:08:02       | 971     | 45            |
| 1       | 05:08:43     | 05:08:43       | 987     | 46            |
| 1       | 05:11:23     | 05:11:23       | 988     | 47            |
| 1       | 05:12:09     | 05:12:09       | 976     | 48            |
| 1       | 05:12:54     | 05:12:54       | 964     | 49            |
| 1       | 05:13:29     | 05:13:29       | 954     | 50            |
| 1       | 05:14:08     | 05:14:08       | 940     | 51            |
| 1       | 05:16:32     | 05:16:32       | 914     | 52            |
| 1       | 05:17:33     | 05:17:33       | 902     | 53            |
| 1       | 05:18:11     | 05:18:11       | 893     | 54            |
